mdb_field_account_no
mdb_field_acct_type
mdb_field_activechki
mdb_field_addr_abbrev
mdb_field_addr_line
mdb_field_addr_post
mdb_field_addr_pre
mdb_field_addr_primary
mdb_field_addr_secy
mdb_field_addr_street
mdb_field_addr_suffix
mdb_field_addr_typ
mdb_field_address1
mdb_field_address2
mdb_field_address_type_indicator
mdb_field_adults_f_18_24
mdb_field_adults_f_25_34
mdb_field_adults_f_35_44
mdb_field_adults_f_45_54
mdb_field_adults_f_55_64
mdb_field_adults_f_65_74
mdb_field_adults_f_75plus
mdb_field_adults_m_18_24
mdb_field_adults_m_25_34
mdb_field_adults_m_35_44
mdb_field_adults_m_45_54
mdb_field_adults_m_55_64
mdb_field_adults_m_65_74
mdb_field_adults_m_75plus
mdb_field_adults_u_18_24
mdb_field_adults_u_25_34
mdb_field_adults_u_35_44
mdb_field_adults_u_45_54
mdb_field_adults_u_55_64
mdb_field_adults_u_65_74
mdb_field_adults_u_75plus
mdb_field_age
mdb_field_aids
mdb_field_air_conditioning
mdb_field_alzeimers
mdb_field_american_express_gold_premium
mdb_field_american_express_regular
mdb_field_amt_req
mdb_field_apt
mdb_field_ar_built
mdb_field_assimilation_codes
mdb_field_asthma
mdb_field_auto_repossessions
mdb_field_auto_work
mdb_field_aviation
mdb_field_bank_aba
mdb_field_bankname
mdb_field_bankruptcy
mdb_field_base_record_verification_date
mdb_field_base_ver_dt
mdb_field_bcontacttime
mdb_field_birthday
mdb_field_bloodpressure
mdb_field_boating_sailing
mdb_field_bot_count
mdb_field_business
mdb_field_business_owner
mdb_field_buy_antiques
mdb_field_buy_art
mdb_field_buy_audio_books
mdb_field_buy_auto_parts
mdb_field_buy_books
mdb_field_buy_collectibles
mdb_field_buy_cosmetics
mdb_field_buy_crafts
mdb_field_buy_gardening
mdb_field_buy_health_beauty
mdb_field_buy_home_gard
mdb_field_buy_hunting
mdb_field_buy_infant_apparel
mdb_field_buy_jewelry
mdb_field_buy_kids_apparel
mdb_field_buy_kids_baby_care
mdb_field_buy_kids_genl
mdb_field_buy_kids_learn_toys
mdb_field_buy_kids_school
mdb_field_buy_luggage
mdb_field_buy_magazines
mdb_field_buy_mem_clubs
mdb_field_buy_mns_apparel
mdb_field_buy_mns_big_apparel
mdb_field_buy_mo_buyer
mdb_field_buy_mo_respdr
mdb_field_buy_ol_purch_ind
mdb_field_buy_pets
mdb_field_buy_photo_video
mdb_field_buy_religious
mdb_field_buy_sport_leis
mdb_field_buy_value_priced
mdb_field_buy_wmns_apparel
mdb_field_buy_wmns_petite_apparel
mdb_field_buy_wmns_plus_apparel
mdb_field_buy_young_mns_apparel
mdb_field_buy_young_wmns_apparel
mdb_field_camping_hiking
mdb_field_cancer
mdb_field_car_rte
mdb_field_carrier_route
mdb_field_cbsa
mdb_field_cc_amex_prem
mdb_field_cc_amex_reg
mdb_field_cc_bank_cd_in_hh
mdb_field_cc_disc_prem
mdb_field_cc_disc_reg
mdb_field_cc_gas_prem
mdb_field_cc_gas_reg
mdb_field_cc_hldr_bank
mdb_field_cc_hldr_gas
mdb_field_cc_hldr_prem
mdb_field_cc_hldr_te
mdb_field_cc_hldr_unk
mdb_field_cc_hldr_ups_dept
mdb_field_cc_mc_prem
mdb_field_cc_mc_reg
mdb_field_cc_new_issue
mdb_field_cc_user
mdb_field_cc_visa_prem
mdb_field_cc_visa_reg
mdb_field_cell
mdb_field_cens_blk
mdb_field_cens_blk_grp
mdb_field_cens_med_hh_income
mdb_field_cens_med_home_value
mdb_field_cens_tract
mdb_field_children
mdb_field_chkdeposit
mdb_field_city
mdb_field_click_score
mdb_field_cobra
mdb_field_collectible_antiques_grouping
mdb_field_collectibles_and_antiques_grouping
mdb_field_collectibles_antiques
mdb_field_collectibles_arts
mdb_field_collectibles_coins
mdb_field_collectibles_sports_memorabilia
mdb_field_collectibles_stamps
mdb_field_collectiblesgeneral
mdb_field_collectiblessports_memorabilia
mdb_field_collector_avid
mdb_field_comments
mdb_field_comp_id
mdb_field_company_name
mdb_field_company_website
mdb_field_contact_name
mdb_field_copay
mdb_field_corp_website
mdb_field_country
mdb_field_county
mdb_field_cra
mdb_field_crafts
mdb_field_credit_lines
mdb_field_credit_range
mdb_field_credit_range_new
mdb_field_credit_rating
mdb_field_date_mod
mdb_field_datehired
mdb_field_daytime
mdb_field_deductable
mdb_field_delivery_point_bar_code
mdb_field_delivery_point_drop_indicator
mdb_field_denied_coverage
mdb_field_dental
mdb_field_depression
mdb_field_desc
mdb_field_diabetes
mdb_field_directdep
mdb_field_discover_gold_premium
mdb_field_discover_regular
mdb_field_dl_number
mdb_field_dl_state
mdb_field_dma_suppr
mdb_field_dnc_flag
mdb_field_do_not_call_flag
mdb_field_dob
mdb_field_dob_day
mdb_field_dob_month
mdb_field_dob_year
mdb_field_domain
mdb_field_donor_political_liberal
mdb_field_donr_animal
mdb_field_donr_arts
mdb_field_donr_charitable
mdb_field_donr_comm_char
mdb_field_donr_environ
mdb_field_donr_health
mdb_field_donr_intl_aid
mdb_field_donr_kids
mdb_field_donr_mail_ord
mdb_field_donr_mail_org
mdb_field_donr_oth
mdb_field_donr_pol
mdb_field_donr_pol_cons
mdb_field_donr_pol_lib
mdb_field_donr_political_conservative
mdb_field_donr_relig
mdb_field_donr_religion
mdb_field_donr_vets
mdb_field_donr_wildlife
mdb_field_dpc
mdb_field_dpd_ind
mdb_field_dsf_ind
mdb_field_dts
mdb_field_dui
mdb_field_dwell_type
mdb_field_education
mdb_field_education_online
mdb_field_employees
mdb_field_employees_clean
mdb_field_employerph
mdb_field_employment
mdb_field_ent_cable_tv
mdb_field_ent_computers
mdb_field_ent_cons_elec
mdb_field_ent_dvd_videos
mdb_field_ent_educ_ol
mdb_field_ent_gaming
mdb_field_ent_hdtv_int
mdb_field_ent_hi_end_appl
mdb_field_ent_movie_coll
mdb_field_ent_mus_instr
mdb_field_ent_music_avid
mdb_field_ent_music_coll
mdb_field_ent_music_playr
mdb_field_ent_pc_gaming
mdb_field_ent_sat_dish
mdb_field_ent_stereo
mdb_field_ent_theater
mdb_field_ent_tv_video_movie
mdb_field_ent_video_gaming
mdb_field_esp_domain
mdb_field_estimated_residential_properties
mdb_field_ethnic_assim
mdb_field_ethnic_code
mdb_field_ethnic_conf
mdb_field_ethnic_group
mdb_field_ethnic_hisp_cntry
mdb_field_ethnic_lang
mdb_field_ethnic_relig
mdb_field_ethnicity
mdb_field_exact_age
mdb_field_exercise_aerobic
mdb_field_exercise_health_grouping
mdb_field_exercise_running_jogging
mdb_field_exercise_walking
mdb_field_expectant
mdb_field_extra2
mdb_field_fax
mdb_field_file_dt
mdb_field_fips_county_code
mdb_field_fips_cty
mdb_field_fips_st
mdb_field_fips_state_code
mdb_field_first_pydy
mdb_field_firstname
mdb_field_fishing
mdb_field_fuel
mdb_field_full_name
mdb_field_gardening
mdb_field_gasoline_or_retail_card_gold_premium
mdb_field_gasoline_or_retail_card_regular
mdb_field_gender
mdb_field_generations_in_household
mdb_field_genl_loan_to_value
mdb_field_genl_pp_home_value
mdb_field_genl_purch_amt
mdb_field_genl_purch_dt
mdb_field_genl_sls_trans
mdb_field_gens
mdb_field_geo_match
mdb_field_golf
mdb_field_has_cond
mdb_field_heart
mdb_field_height
mdb_field_height_ft
mdb_field_height_in
mdb_field_hh_marital_stat
mdb_field_hh_size
mdb_field_hiredate
mdb_field_hispanic_country_code
mdb_field_hiv
mdb_field_hmo
mdb_field_home_and_garden
mdb_field_home_improvement_do_it_yourselfers
mdb_field_home_improvement_grouping
mdb_field_home_mkt_value
mdb_field_home_owner
mdb_field_home_owner_src
mdb_field_hospitalized
mdb_field_house_hold_income
mdb_field_house_plants
mdb_field_household_size
mdb_field_how_long_ins
mdb_field_hunting
mdb_field_hunting_shooting
mdb_field_id
mdb_field_income
mdb_field_incomesour
mdb_field_ind_id
mdb_field_industry1
mdb_field_industry2
mdb_field_inf_hh_rank
mdb_field_inferred_age
mdb_field_insco
mdb_field_insured
mdb_field_int_auto_wk
mdb_field_int_aviation
